"Date","Chrome","Safari","Firefox","Samsung Internet","Edge","Opera","UC Browser","IE","Android","Edge Legacy","360 Safe Browser","QQ Browser","Yandex Browser","Whale Browser","Puffin","Mozilla","KaiOS","Coc Coc","Sogou Explorer","Sony PS4","Maxthon","Unknown","Chromium","Other"
2020-08,65.99,16.82,4.09,3.47,2.3,2.09,1.35,1.2,0.45,0.68,0.3,0.28,0.26,0.11,0.12,0.08,0.04,0.11,0.05,0.05,0.03,0.03,0.03,0.05
2020-09,66.34,16.73,4.09,3.23,2.61,2.06,1.23,1.19,0.46,0.52,0.31,0.28,0.25,0.12,0.12,0.09,0.04,0.1,0.06,0.04,0.03,0.03,0.03,0.05
2020-10,66.12,17.24,3.98,3.18,2.85,2.08,1.2,1.05,0.4,0.46,0.29,0.26,0.25,0.11,0.11,0.08,0.03,0.09,0.05,0.04,0.03,0.02,0.02,0.05
2020-11,63.54,19.24,3.79,3.49,3.01,2.11,1.35,1.13,0.46,0.4,0.3,0.27,0.24,0.12,0.11,0.09,0.07,0.03,0.06,0.04,0.03,0.05,0.02,0.05
2020-12,63.38,19.25,3.77,3.47,3.08,2.26,1.45,1.05,0.47,0.33,0.28,0.26,0.28,0.15,0.11,0.09,0.07,0.04,0.05,0.04,0.03,0.03,0.02,0.05
2021-01,63.54,19.45,3.64,3.5,3.23,2.17,1.44,0.81,0.46,0.32,0.27,0.26,0.27,0.14,0.1,0.09,0.05,0.03,0.05,0.05,0.03,0.04,0.02,0.05
2021-02,63.59,19.14,3.76,3.31,3.41,2.19,1.52,0.81,0.48,0.31,0.29,0.3,0.26,0.14,0.09,0.08,0.08,0.04,0.05,0.05,0.03,0.02,0.02,0.05
2021-03,64.19,19.03,3.68,3.27,3.45,2.13,1.36,0.73,0.45,0.29,0.3,0.24,0.24,0.12,0.09,0.08,0.08,0.04,0.05,0.05,0.03,0.02,0.02,0.05
2021-04,64.47,18.68,3.59,3.29,3.39,2.22,1.28,0.71,0.6,0.25,0.31,0.26,0.24,0.13,0.09,0.09,0.09,0.04,0.05,0.05,0.03,0.02,0.02,0.07
2021-05,64.75,18.43,3.36,3.23,3.37,2.31,1.34,0.62,0.87,0.25,0.29,0.29,0.24,0.13,0.08,0.08,0.1,0.05,0.05,0.05,0.03,0.02,0.01,0.05
2021-06,65.27,18.34,3.29,3.18,3.4,2.19,1.32,0.61,0.72,0.23,0.3,0.28,0.24,0.12,0.08,0.08,0.1,0.05,0.06,0.05,0.02,0.02,0.02,0.04
2021-07,65.12,18.65,3.45,3.13,3.4,2.13,1.18,0.57,0.71,0.21,0.29,0.27,0.23,0.14,0.08,0.08,0.11,0.05,0.05,0.05,0.03,0.02,0.01,0.05
2021-08,64.94,18.75,3.55,3.06,3.57,2.17,1.1,0.58,0.66,0.22,0.27,0.25,0.23,0.13,0.08,0.08,0.11,0.06,0.05,0.04,0.03,0.02,0.01,0.04
